DateTime,news
10/24/2019,"Gold steady as investors await Brexit clarity, Fed meeting"
10/24/2019,"PRECIOUS-Gold steady as investors await Brexit clarity, Fed meeting"
10/24/2019,Brazil says it will call on OAS to demand answer from Venezuela on oil spill
10/24/2019,"We'll all have to eat less sugar and salt, KitKat maker Nestlé says"
10/24/2019,UPDATE 1-Agnico Eagle Mines beats Street on higher gold sales volume
10/24/2019,Gold to remain robust despite climate change concerns
10/24/2019,"Gold, silver prices near steady as choppy, sideways trading continues"
10/24/2019,India hopes to sign pact on Saudi role in oil storage during Modi's visit
10/24/2019,Gold tries to break resistance as U.S. durable-goods miss expectations
10/24/2019,This Oil Stock's Earnings Were Right on Target Despite Turbulent Market Conditions
10/24/2019,Para Resources Announces Start of the Gold Road Mill
10/24/2019,"Metals Stocks: Gold climbs back above $1,500 for highest finish in two weeks"
10/23/2019,American Creek Reports New Findings Regarding Gold Hill Project and Previously Reported Assay Results for First Four Phase One Drill Holes
10/23/2019,CORRECTED-Freeport posts quarterly loss as copper production falls
10/23/2019,"India raises wheat buying price, makes exports unviable"
10/23/2019,West Africa burgeoning with potential for gold sector after years of exploration austerity
10/23/2019,CANADA STOCKS-Futures slip on lower oil prices
10/23/2019,Zambia Consolidated Copper Mine Investment Holdings appoints new chair
10/23/2019,India raises wheat buying price by 4.6% for 2020: minister
10/23/2019,METALS-Zinc gains as deficit pushes inventories to new lows
10/23/2019,Goldman Sachs says oil prices are going nowhere next year
10/23/2019,Oil Resumes Decline As Report Shows Rising U.S. Crude Stockpiles
10/23/2019,Iran's Copper Concentrate Output Declines
10/23/2019,Aluminium Stocks at Japanese Ports Rise in September - Marubeni
10/23/2019,Iran Needs Plan for Copper Industry Development
10/23/2019,India turns refined copper importer after 18 years: Care Ratings
10/23/2019,TABLE-UAE's Fujairah oil inventory data for week ended Oct 21
10/23/2019,"Gold prices can get to $1,700 in just 6 months, here's how - ANZ"
10/23/2019,"Oil rises on surprise U.S. crude drawdown, prospect of OPEC action"
10/23/2019,Gold futures mark first climb in 4 sessions
10/23/2019,"Benchmark Metals Exhibiting at Booth 214 at The Silver & Gold Summit, October 27-28, 2019"
10/23/2019,French nuclear group Orano's uranium mine in Niger to close in 2021
10/23/2019,PRECIOUS-Gold bides time as traders await clarity on Brexit
10/23/2019,Minnovare optimises production for leading gold miners
10/23/2019,RPT-COLUMN-Sustainability the new battleground for aluminium producers: Andy Home
10/25/2019,Gold Prices Pull Back Near Unchanged Line After Seeing Initial Strength
10/25/2019,"Oil prices clock strong weekly gains on trade hopes, crude supply"
10/25/2019,"Oil prices clock strong weekly gains on trade hopes, crude supply"
10/25/2019,"Oil futures end higher, gaining over 5% for the week"
10/25/2019,"The Zacks Analyst Blog Highlights: Franco-Nevada, Kinross Gold, Kirkland Lake Gold, Agnico Eagle Mines and Pretium Resources"
10/25/2019,Why Yamana Gold Stock Is Soaring Today
10/25/2019,Southern Copper (SCCO) Q3 Earnings & Sales Top Estimates
10/25/2019,Petrobras exec says production costs in key oil zone to stabilize in Q4
10/25/2019,Earnings Preview: Imperial Oil (IMO) Q3 Earnings Expected to Decline
10/25/2019,China Aluminium Output Falls in September
10/25/2019,Sustainability is New Battleground for Aluminium Producers - Andy Home
10/25/2019,LME Starts Inquiry into Nickel Trading as Inventories Plunge
10/25/2019,Südzucker AG : Südzucker increases operating result outlook in further very positive ethanol mar-ket environment
10/25/2019,"METALS-Zinc gains as inventories fall, shrugs off hidden stock"
10/25/2019,Gold hits two-week high on weak U.S. data; palladium scales record
10/25/2019,Oil drops after three-day rally amid economic growth concerns
10/25/2019,Oil drops after three-day rally amid economic growth concerns
10/25/2019,"METALS-Copper falls on weak macro outlook, 2020 surplus"
10/24/2019,"Oats trying to bring fun, wins back to Alabama basketball"
10/24/2019,Hefty gold price to cloud Diwali’s celebrations and weigh on gold demand - analysts
10/24/2019,Key Words: CNN’s Jeff Zucker blasts Hannity and others on Fox News as ‘conspiracy TV’
10/24/2019,"Sens. Schumer, Cotton Lead Effort To Assess TikTok's Security Risk"
10/24/2019,CNN's Zucker calls Facebook's political ad policy ludicrous
10/24/2019,CNN’s Zucker calls Facebook’s political ad policy ludicrous
10/25/2019,Nomura Intl. PLC : Form 8.3 - Eland Oil & Gas Plc
10/25/2019,Resolute shares get positive bump as firm contains fallout from broken Syama roaster
10/25/2019,Oil and Gas Devt Co : Financial Results for the Quarter Ended 30-09-2019
10/25/2019,Dragon Oil Takes Over BP Stake GUPCO in Egypt
10/25/2019,Tollow Oil Announces Board Changes
10/24/2019,EIA reports weekly climb of 87 billion cubic feet in U.S. natural-gas supplies
10/24/2019,"Nov. natural gas trades at $2.304/mln Btus, up 2.2 cents, or 1%"
10/24/2019,Earnings Preview: Murphy Oil (MUR) Q3 Earnings Expected to Decline
10/24/2019,"Gold prices push above $1,500 on chart-based buying"
10/24/2019,Why Marathon Oil (MRO) is Poised to Beat Earnings Estimates Again
10/22/2019,Oil & Gas Stock Roundup: Schlumberger & Halliburton Report Q3 Earnings
10/24/2019,Oil prices ease as weak demand outlook weighs on market
10/24/2019,Equinor hit by lower natural gas prices and output
10/24/2019,Beowulf Mining PLC : Plans To Investigate Iron Ore Potential
10/24/2019,Greatland Gold PLC : Further Newcrest Drilling Results at Havieron
10/23/2019,Barrick Gold (GOLD) Stock Sinks As Market Gains: What You Should Know
10/23/2019,Where is gold headed next week? Vote now!
10/23/2019,Kinross Gold (KGC) Gains But Lags Market: What You Should Know
10/23/2019,Agnico Eagle reports record gold production cash flow in Q3
10/23/2019,First Mexican Gold Corp. Announces Private Placement and Change of Management
10/23/2019,"As population grows, human diet must cut down on meat, sugar, salt - Nestlé exec"
10/24/2019,"Oil steadies above $61, weak demand outlook weighs"
10/24/2019,"Oil steadies above $61, weak demand outlook weighs"
10/24/2019,"Blackrock Completes First Drillhole at Silver Cloud Project, Nevada; Assays Pending"
10/24/2019,"ALX Uranium Corp. Increases Land Position at Falcon Nickel Project, Saskatchewan"
10/23/2019,"Samsung, Kakao join hands for insurance biz"
10/23/2019,Futures Movers: Oil prices mark highest finish in a month as U.S. supplies post surprise weekly drop
10/23/2019,Roskill Information Services L : Roskill: Tin prices to stabilise by the end of 2019
10/23/2019,Oil dips as U.S. stocks build; output cut prospects give support
10/23/2019,Oil dips as U.S. stocks build; output cut prospects give support
10/23/2019,Hazmat team responds when uranium delivered to halfway house
10/23/2019,Gold sees moderate gains on some safe-haven demand
10/23/2019,"RJK Explorations Amends Option Agreement for Rolling Pond Property in Moosehead Gold Belt, NFLD"
10/23/2019,Rio Tinto to review smelter future as aluminium prices struggle
10/22/2019,"Kimly looks to buy stakes in coffee shops, canteens for S$59m"
10/25/2019,"Oil prices edge up, on track for strong weekly gain"
10/25/2019,"Why juniors have not outperformed on a gold price rally, and what will change in 2020"
10/25/2019,"Oil prices edge up, on track for strong weekly gain"
10/25/2019,"Fiat Chrysler recalls 108,000 diesel Ram 1500 pickup trucks for coolant leaks"
10/25/2019,"Somalia says Shell, Exxon agree to pay $1.7 mln for oil blocks lease"
10/25/2019,Silver prices surge 3% on the day as analysts point to industrial demand
10/25/2019,Oil prices ease but are on track for large weekly gain
10/25/2019,"Indian gold demand lights up on Dhanteras, Diwali"
10/25/2019,"Oil prices steady, on track for large weekly gain"
10/25/2019,"Oil prices steady, on track for large weekly gain"
10/25/2019,Aditya Aluminium Sets Up 24 MW Solar Plant in Sambalpur district
10/25/2019,Stifel Nicolaus Euro : Form 8.5 (EPT/RI) - Eland Oil & Gas PLC
10/25/2019,IAMGOLD Reports Initial Mineral Resource Estimate for Nelligan Gold Project in Quebec
10/25/2019,TriStar Gold Drilling Ramps up as Government Approvals Published
10/25/2019,Gold hits two-week high as weak U.S. data boosts rate-cut bets
10/25/2019,UPDATE 2-Brazil's Petrobras says costs plummet in coveted oil zone
10/25/2019,PRECIOUS-Gold hits 2-week high as weak U.S. data boosts rate-cut bets
10/25/2019,"Oil retreats after three-day rally on renewed demand, economic growth concerns"
10/25/2019,"Oil retreats after three-day rally on renewed demand, economic growth concerns"
10/25/2019,Evolution chairman upbeat on value of gold sector
10/24/2019,Oil buoyed as focus turns to supply prospects
10/24/2019,Barrian Mining Corp: Invitation to The Silver & Gold Summit Booth 102
10/24/2019,CORRECT: Gold futures score highest finish in 2 weeks
10/24/2019,UPDATE 2-Canada's Husky steers investment away from Alberta due to oil curtailments
10/24/2019,"Gold, silver see decent gains on technical buying"
10/24/2019,Oil extends gains despite weak demand outlook
10/25/2019,Cora Gold Limited : Director Dealing
10/25/2019,Gold hits two-week high on weak U.S. data; palladium scales new peak
10/25/2019,PRECIOUS-Gold hits two-week high on weak U.S. data; palladium scales new peak
10/25/2019,Numis Securities Ltd : Form 8.5 (EPT/RI) - Nostrum Oil & Gas plc
10/25/2019,METALS-LME copper set for third weekly rise on Chile supply fears
10/24/2019,"Gold prices holding above $1,500 following positive U.S. flash PMI data"
10/24/2019,"Oil rises further above $61, but weak demand outlook weighs"
10/24/2019,"Oil rises further above $61, but weak demand outlook weighs"
10/24/2019,"Gold moves to daily high, flirting with $1,500"
10/24/2019,Vista Oil & Gas (VIST) Q3 2019 Earnings Call Transcript
10/22/2019,Gold prices struggling to find momentum even after disappointing U.S. exiting home sales data
10/22/2019,"In Brazil, Norway's Equinor eyes natural gas infrastructure"
10/22/2019,Oil prices rise on prospects for U.S.-China trade deal
10/22/2019,Oil prices rise on prospects for U.S.-China trade deal
10/22/2019,"Slave Lake Zinc Extends ""Shaft Zone"" Border to Border"
10/24/2019,Weiss Asset Mngmnt : Form 8.3 - Eland Oil & Gas PLC
10/24/2019,PRECIOUS-Gold holds ground as investors await clarity on Brexit
10/24/2019,Gold holds ground as investors await clarity on Brexit
10/24/2019,METALS-Nickel hits over 1-wk high on Ramu mine closure in Papua New Guinea
10/24/2019,"Oil slips on profit-taking, weak demand outlook"
10/24/2019,"Oil slips on profit-taking, weak demand outlook"
10/24/2019,Star pitches $2b Gold Coast 'master plan' in bid to sink second casino
10/23/2019,"UPDATE 1-As population grows, human diet must cut down on meat, sugar, salt -Nestlé exec"
10/23/2019,"Exclusive: Mexico taps banks, oil major as it nears end of 2020 oil hedge - sources"
10/23/2019,"As population grows, human diet must cut down on meat, sugar, salt - Nestlé executive"
10/23/2019,"As population grows, human diet must cut down on meat, sugar, salt -Nestlé exec"
10/23/2019,Canadian swimmer Brent Hayden attempts comeback at 36
10/22/2019,Oil rises on optimism about prospects for a U.S.-China deal
10/22/2019,Oil rises on optimism about prospects for a U.S.-China deal
10/22/2019,ExxonMobil & ONGC ink MoU for Oil Exploration in India
10/22/2019,Oil Steady As U.S. Crude Supplies Swell While Trade Hopes Build
10/24/2019,Gold prices steady after ECB leaves interest rates unchanged
10/24/2019,METALS-Nickel firms as plant closure amplifies supply fears
10/24/2019,5 Gold Stocks to Buy on October's Rate Cut Hope
10/24/2019,"Orion sees “early indications” it can accelerate Prieska Copper, cut R3.8bn capital bill"
10/23/2019,Spanish Mountain Gold Announces Results of Preliminary Economic Assessment for Phase 1 Project
10/23/2019,UPDATE 1-Freeport posts quarterly loss as copper output slumps
10/23/2019,"Gold's short-term risk is lower, but the metal is heading to $1,600 in 2020 - TD Securities"
10/23/2019,Gold prices up on Brexit uncertainty
10/23/2019,Metals Stocks: Gold scores first gain in 4 sessions
10/23/2019,Why Marathon Petroleum Stock Has Rallied Despite Falling Oil Prices
10/23/2019,First oil from Johan Sverdrup to Mongstad
10/23/2019,Bullfrog Gold Achieves High Leach Recoveries at its Nevada Project
10/23/2019,Third High Level Meeting of the OPEC-China Energy Dialogue
10/23/2019,Boskalis Operating a Dredging Vessel On 100% Bio-Fuel Oil
10/23/2019,Benchmark Metals Discovers New Gold-Silver Zone
10/23/2019,PRECIOUS-Gold holds steady amid Brexit uncertainties; technical buying gives support
10/23/2019,Subaru STI EJ20 Final Edition is a blue-and-gold bye-bye     - Roadshow
10/23/2019,Rio Tinto : Future of New Zealand Aluminium Smelter
10/23/2019,Oil falls on U.S. stockbuild; deeper output cut prospects give support
10/23/2019,"PRECIOUS-Gold moves sideways as investors seek clarity on Brexit, trade war"
10/23/2019,"Oil rises on surprise draw in U.S. stocks, prospect of OPEC action"
10/23/2019,"UPDATE 3-Freeport posts loss on lower copper output, prices"
10/23/2019,"EIA reports a surprise decline in U.S. crude-oil supplies, the first in 6 weeks"
10/23/2019,Great Panther Silver (GPL) to Report Q3 Results: What You Should Expect
10/23/2019,Endeavour Silver (EXK) May Report Negative Earnings: Know the Trend Ahead of Q3 Release
10/23/2019,"India eases fuel retail rules, allows entry of non-oil firms"
10/22/2019,Oil prices rise as OPEC mulls deeper output cuts
10/22/2019,Oil prices rise as OPEC mulls deeper output cuts
10/22/2019,"Engineer Gold Mines Ltd. Exhibiting at Booth 508 at The Silver & Gold Summit, October 27-28, 2019"
10/22/2019,Oil prices rise as OPEC mulls deeper demand cuts
10/22/2019,"Gold's 'rally is over': Copper to be the star of 2020, says Capital Economics"
10/25/2019,"Russia affirms close oil cooperation with Saudi Arabia, OPEC+"
10/25/2019,"Fiat Chrysler recalls 108,000 diesel Ram 1500 pickup trucks for coolant leaks"
10/25/2019,What happens to the gold price when Fed cuts rates next week?
10/25/2019,Oil industry veteran Steven Keenan resigns from Apache Corp
10/25/2019,Cabot Oil & Gas Corp (COG) Q3 2019 Earnings Call Transcript
10/25/2019,U.S. drillers cut oil rigs for record 11th month -Baker Hughes
10/25/2019,Oil prices ease but are on track for large weekly gain
10/25/2019,"CANADA STOCKS-TSX treads water as tech, energy stocks offset rally in gold miners"
10/25/2019,"US may send troops, armored vehicles to Syrian oil fields"
10/25/2019,Sylvania Platinum : Notice of Annual General Meeting
10/25/2019,Alianza Minerals Drilling Update at Bighorn Zone in Haldane Silver Property YT
,
10/25/2019,"Oil States International (OIS) Reports Q3 Loss, Lags Revenue Estimates"
10/25/2019,Syria mission evolves amid Trump’s focus on oil
10/25/2019,Santa comes early for Silver Lake
,
10/24/2019,Oil extends gains despite weak demand outlook
10/24/2019,Sandfire’s Simich expects to make investment call on Botswana T3 copper project in 2020
,
10/25/2019,Silver Prices: 10-Year Price Analysis And Production-Demand-GDP Dynamics
10/25/2019,"Oil declines, ending three-day rally as growth concerns return"
10/25/2019,"Oil declines, ending three-day rally as growth concerns return"
,
10/24/2019,Should You Invest in the iShares U.S. Oil & Gas Exploration & Production ETF (IEO)?
10/24/2019,BlackRock Group : Form 8.3 - Eland Oil & Gas plc
10/24/2019,Magnetar Capital Partners LP : Form 8.3 - Eland Oil & Gas plc
10/24/2019,Velay Financial : Form 8.3 - ELAND OIL & GAS PLC
10/24/2019,"Benton Executes Option Agreement with Maxtech Ventures on Panama Gold Project, Red Lake Mining District"
10/24/2019,Futures Movers: Oil up for 3rd straight day as producers look to rein in output
10/22/2019,Mako Mining: Infill Drilling at San Albino Intersects 59.48 g/t Gold Over 2.1 Meters (estimated True Width) Five Meters from Surface
10/22/2019,Bonterra Resources Intersects High Grade Gold in New Zone at Moroy
10/22/2019,C$ pulls back from 3-month high as investors fret about oil pipeline prospects
10/22/2019,"Metals Stocks: Gold ends a bit lower, but finds few cues as traders watch Brexit, U.S.-China trade talks"
10/22/2019,Grande Portage's 2019 Ground Reconnaissance on LiDAR Survey Confirms Gold In Vein Structures 1.5 km southwest of the Deep Trench Vein
10/22/2019,"India's September oil imports at three-year low, Saudi regains top spot"
10/24/2019,"Malaysia in talks with India, other countries on palm oil sales: minister"
10/24/2019,METALS-Nickel rises on Ramu nickel project shutdown in Papua New Guinea
10/24/2019,Oil pares U.S. stock-draw gains on weak demand outlook
,
10/23/2019,Brazil court approves contract draft for transfer of rights oil deal
10/23/2019,Will Palladium ETF's 2019 Rally Continue Next Year?
,
10/22/2019,Peel Hunt LLP : Form 8.5 (EPT/RI) - Nostrum Oil & Gas
10/22/2019,Canada's oil and gas sector wary of left-leaning parties in minority government
10/22/2019,VAALCO Energy Oil Discovery with Etame 9P Appraisal Wellbore
10/22/2019,DRDGold security officer killed trying to halt gold heist at firm’s ERGO mine
10/22/2019,METALS-Copper flat as traders gauge supply concerns from Chile protests
10/22/2019,"Oil steadies as traders eye U.S.-China talks, inventory data"
10/24/2019,Oil Falls As Weaker Economy Data Eclipses U.S. Stockpile Drop
10/24/2019,Maple Gold reports a new pit-constrained and underground Mineral Resource Estimate at Douay
10/24/2019,Desert Gold Outlines 2019-2020 Exploration Plan
10/24/2019,ADM InvestorServices : Form 8.3 - Eland Oil & Gas plc
10/24/2019,Oil slips below $61 as weak demand outlook weighs
,
10/23/2019,Freeport posts quarterly loss as copper production falls
10/23/2019,A path for gold miners to become carbon neutral - World Gold Council
10/23/2019,"Freeport-McMoRan sees full-year consolidated sales abut 3.3 bln pounds of copper, 874K ounces of gold"
10/23/2019,"Freeport-McMoRan Q3 consoldiated sales 795 mln pounds of copper, 243K ounces of gold"
10/23/2019,"PRECIOUS-Gold rises as stocks ease on Brexit, tech concerns"
10/23/2019,Sienna Resources Update on Slattberg Nickel-Copper-Cobalt Project Drill Program in Sweden
10/23/2019,Oil dips as U.S. stocks rise; prospect of OPEC action supports
10/23/2019,Alt Resources Extension Drilling Delivers Additional High Grade Gold
10/23/2019,Oil dips as U.S. stocks rise; prospect of OPEC action supports
10/23/2019,NuLegacy Gold Reports on Fall 2019/Spring 2020 Exploration Program
10/23/2019,"METALS-Shanghai nickel rises on low stockpiles, Nornickel accident"
10/23/2019,Oil falls on U.S. stockbuild; deeper output cut prospects give support
10/23/2019,"Gold moves sideways as investors seek clarity on Brexit, trade war"
10/23/2019,Sugar rush from India’s tax cut starts to wear off
10/23/2019,METALS-LME nickel retreats after quick rebound
10/23/2019,Gold bides time as traders await clarity on Brexit
10/23/2019,"UPDATE 1-India eases fuel retail rules, allows entry of non-oil firms"
10/23/2019,"UPDATE 2-Freeport posts loss on lower copper output, prices"
10/23/2019,The Best Way to Avoid Oil Price Volatility: Invest in MLPs
10/23/2019,Hyundai Glovis Inks Oil Shipping Deal with GS Caltex
10/23/2019,"EnGold Drills 6.18 gpt Gold, 0.80% Copper, 2.63 gpt Silver Over 4.55 Metres at Aurizon Gold Zone, Lac La Hache"
10/22/2019,A 'eureka moment': Rio Tinto strikes lithium while looking for gold
10/22/2019,UPDATE 1-U.S. EPA chief hints vehicle CO2 limits will tighten
10/22/2019,"Gold prices pause, but bigger move right on the horizon"
10/22/2019,"Degussa sees record gold sales, ups 2020 price forecast to above $1,700"
10/22/2019,"OPEC, allies to mull deeper oil cut amid worries over demand growth"
10/22/2019,UPDATE 1-Rosneft sells contaminated oil to Vitol at more than $25/bbl discount -trade
,
10/25/2019,"US may send troops, armored vehicles to Syrian oil fields"
10/25/2019,IAMGOLD Awarded Discovery of the Year for Nelligan Gold Project by Association De L'exploration Minière Du Québec
,
,
10/22/2019,Nickel Price Likely to Recover
10/22/2019,US Aluminium Recovery from Scrap Drops by 16% YoY
10/22/2019,Gold prices steady as U.S.-China trade optimism sparks market cheer
10/22/2019,Jack Aluminium Partners With Geze UK for Automatic Sliding Door System
10/22/2019,BHP Q3 Copper Production Update
10/22/2019,Futures Movers: Oil prices log first gain in 3 sessions after report OPEC will weigh deeper output cuts
10/22/2019,Indonesia oil pipeline fire kills Chinese worker
10/22/2019,Software company Cision to be acquired by Platinum Equity in cash deal valued at $2.74 billion
10/22/2019,UPDATE 1-Russia-Zimbabwe Great Dyke Investments needs $500 mln for phase 1 of  platinum mine
10/22/2019,"Gold, silver prices slightly up as markets turn quieter"
10/22/2019,Tullow Oil PLC : Board Changes
10/22/2019,EBRD Supports Gold Mining in Mongolia
10/22/2019,The Launch of Twiga Minerals Heralds Partnership between Tanzanian Government & Barrick Gold
10/22/2019,Goldman Sachs lowers forecast 2020 U.S. shale oil output growth
10/22/2019,Tailing Dam Collapse Kills 15 at Sibzoloto Gold Miners in Siberia
10/23/2019,Oil slips as U.S. stocks rise; prospect of OPEC action supports
10/23/2019,Premier Oil PLC : Holding(s) in Company
,
10/23/2019,Rio Tinto to Review Future of New Zealand's Aluminium Smelter
10/23/2019,Plastic Being Canned in favor of Aluminium in US
,
10/23/2019,"Oil slips after U.S. inventory build, but possible OPEC cuts support market"
,
10/23/2019,CORRECTED-UPDATE 1-Freeport posts quarterly loss as copper output slumps
,
10/22/2019,Rosneft sells contaminated oil to Vitol at more than $25/bbl discount -trade
10/22/2019,Tullow Oil PLC : Holding(s) in Company
10/22/2019,"UAE next in line for gold trading platform, what this really signals"
10/22/2019,Alcoa Portland aluminium Plant Closure Likely
10/22/2019,Copper Climbs on Chinese Property & Infrastructure Data
10/22/2019,METALS-Copper rises as Chile unrest raises supply concerns
10/22/2019,Indian trade body calls for end to duty free edible oil import loophole
10/22/2019,COLUMN-Sustainability the new battleground for aluminium producers: Andy Home
10/22/2019,Contact Gold Extends Oxide Gold Mineralization 50 Metres North at the Stallion Zone at Pony Creek
10/22/2019,Brazil sending more troops in oil spill clean-up
10/22/2019,"Anglo lifts iron ore guidance at Minas Rio, but drought could drag on Chile copper into 2020"
10/22/2019,Scottie Resources update on Bow & Scottie Gold Mine Properties
10/22/2019,"Attis Oil and GasLtd : New Acreage, Drill Programme & Issue of Equity"
10/22/2019,Trans-Siberian Gold : Q3 2019 Production Update
10/22/2019,JKX Oil & Gas PLC : 2nd 2015 Poltava rental fee claim closed for PPC
,
10/22/2019,BHP Q3 Nickel Production Update
10/22/2019,China Primary Aluminium Output Down By 1.6% YoY in September - NBS
10/22/2019,PNG nickel mine Toxic Spill Will Have Long Lasting Effects
10/22/2019,Oil slips as demand concerns outweigh U.S.-China trade optimism
10/22/2019,Signals promising for uranium as Paladin bides time on $80m restart of Langer Heinrich
10/22/2019,Malaysia's Mahathir stands by Kashmir comments despite palm oil boycott by India traders
10/22/2019,"IAMGOLD Reports Initial Mineral Resource Estimate of 3.2 Million Inferred Ounces for the Nelligan Gold Project, Quebec"
,
10/22/2019,U.S. allows Chevron to drill for oil in Venezuela for three more months
10/21/2019,UPDATE 3-U.S. allows Chevron to drill for oil in Venezuela for three more months
10/21/2019,White House allows Chevron to drill for oil in Venezuela for three more months
10/21/2019,"Slowing Global Economy, Rising Output Put Oil ETFs in Focus"
10/21/2019,UPDATE 2-White House allows Chevron to drill for oil in Venezuela for three more months
10/22/2019,Delta Resources to Acquire R-14 Gold Prospect Chibougamau Mining District in Quebec
10/22/2019,Oil slips as demand concerns outweigh U.S.-China trade optimism
10/22/2019,Spot Price of Palladium at all Time High of USD 1781 per ounce
10/22/2019,RNC Minerals Beta Hunt Continues to Deliver High-Grade Gold
,
10/22/2019,UK Oil & Gas PLC : HH-2 Pilot Completed & HH-2z Horizontal Underway
10/22/2019,Panther Metals PLC : Marrakai Gold Project Application
10/22/2019,Gold eases as trade talk cheer buoys risk appetite
10/22/2019,METALS-Copper edges up as unrest flares in top producer Chile
10/22/2019,Malaysia to study impact of palm oil import boycott by Indian traders: PM Mahathir
10/21/2019,METALS-Copper hits one-month high on Chile unrest and easing trade tensions
10/21/2019,"Eldorado Gold announces gold production of 101,596 oz in Q3"
10/21/2019,"Asanko Gold produces 62,440 oz in Q3"
10/22/2019,Trade thaw lifts spirits but drags gold into bear country
10/22/2019,Goldman Sachs lowers forecast 2020 U.S. shale oil output growth
10/22/2019,Malaysia's Mahathir stands by Kashmir comments despite India palm oil boycott
10/22/2019,Sylvania Platinum : 1st Quarter Results
10/22/2019,Energean Oil & Gas : Director/PDMR Shareholding
10/21/2019,Brazil sending more troops in oil spill clean-up
10/21/2019,"2020 Nissan Titan XD gets more power, standard 4WD and ditches diesel     - Roadshow"
